id,race,passed,duration_seconds,called_tools,expected_tools,tool_ok,result_missing,answer_missing,errors,question
P01_gateway_outputs,Protoss,True,18.27,"[""resolve_entity_key"", ""query_production_outputs""]","[""query_production_outputs""]",True,[],[],[],"What units can a Protoss Gateway produce, and what are their mineral, gas, and supply costs?"
P02_robotics_facility_outputs,Protoss,True,27.01,"[""resolve_entity_key"", ""query_production_outputs""]","[""query_production_outputs""]",True,[],[],[],"What units can a Protoss Robotics Facility produce, and what are their costs, supply, and prerequisites?"
P03_stargate_outputs,Protoss,True,22.99,"[""resolve_entity_key"", ""query_production_outputs""]","[""query_production_outputs""]",True,[],[],[],"What air units can a Protoss Stargate produce, and what are their costs and supply?"
P04_cybernetics_core_research,Protoss,True,17.76,"[""query_research_outputs""]","[""query_research_outputs""]",True,[],[],[],"Which upgrades can the Protoss Cybernetics Core research, and what are their costs?"
P05_cybernetics_core_dependency,Protoss,True,66.46,"[""resolve_entity_key"", ""query_dependency_impact"", ""query_tech_tree"", ""query_tech_tree""]","[""query_dependency_impact"", ""query_tech_tree""]",True,[],[],[],"If the Protoss Cybernetics Core is destroyed, which units and upgrades are affected downstream?"
P06_stalker_reverse_source,Protoss,True,34.05,"[""resolve_entity_key"", ""query_reverse_production_sources"", ""filter_attributes_and_resources"", ""query_tech_tree""]","[""query_reverse_production_sources""]",True,[],[],[],"Where is a Stalker produced, what prerequisite does it require, and what does it cost?"
P07_oracle_ability_profile,Protoss,True,32.39,"[""resolve_entity_key"", ""query_unit_abilities"", ""get_entity"", ""get_entity"", ""get_entity"", ""get_entity""]","[""query_unit_abilities""]",True,[],[],[],"What abilities does Oracle have, and what are their target types, ranges, and energy costs?"
P08_protoss_gas_units_sources,Protoss,True,26.06,"[""query_gas_units_with_sources""]","[""query_gas_units_with_sources""]",True,[],[],[],Find Protoss units that cost gas and explain their production source and tech chain evidence.
P09_forge_upgrade_effects,Protoss,True,89.06,"[""resolve_entity_key"", ""query_research_outputs"", ""query_upgrade_effects"", ""query_upgrade_effects"", ""query_upgrade_effects"", ""filter_attributes_and_resources"", ""filter_attributes_and_resources""]","[""query_upgrade_effects""]",True,[],[],[],"Which Protoss units are affected by Forge ground weapon, armor, or shield upgrades, and where are those units produced?"
P10_carrier_reverse_source,Protoss,True,25.66,"[""resolve_entity_key"", ""get_entity"", ""query_reverse_production_sources"", ""query_tech_tree""]","[""query_reverse_production_sources""]",True,[],[],[],"Where is a Carrier produced, what prerequisite building does it require, and what does it cost?"
Z01_larva_morph_outputs,Zerg,True,39.06,"[""resolve_entity_key"", ""query_production_outputs"", ""query_production_outputs""]","[""query_production_outputs""]",True,[],[],[],"What units can Zerg Larva morph into, and what are their mineral, gas, and supply costs?"
Z02_spawning_pool_research,Zerg,True,26.01,"[""resolve_entity_key"", ""query_research_outputs""]","[""query_research_outputs""]",True,[],[],[],"Which upgrades can the Zerg Spawning Pool research, and what are their costs?"
Z03_spawning_pool_dependency,Zerg,True,76.37,"[""resolve_entity_key"", ""query_dependency_impact"", ""query_tech_tree"", ""query_tech_tree"", ""query_tech_tree""]","[""query_dependency_impact"", ""query_tech_tree""]",True,[],[],[],"If the Zerg Spawning Pool is destroyed, which units and upgrades are affected downstream?"
Z04_roach_reverse_source,Zerg,True,31.84,"[""resolve_entity_key"", ""query_reverse_production_sources"", ""get_entity""]","[""query_reverse_production_sources""]",True,[],[],[],"Where is a Roach produced from, what prerequisite does it require, and what does it cost?"
Z05_infestor_ability_profile,Zerg,True,73.58,"[""resolve_entity_key"", ""query_unit_abilities"", ""query_unit_abilities"", ""get_entity"", ""get_entity"", ""get_entity""]","[""query_unit_abilities""]",True,[],[],[],"What abilities does Infestor have, and what are their target types, ranges, and energy costs?"
Z06_viper_ability_profile,Zerg,True,50.17,"[""resolve_entity_key"", ""query_unit_abilities"", ""get_entity"", ""get_entity"", ""get_entity"", ""get_entity"", ""get_entity""]","[""query_unit_abilities""]",True,[],[],[],"What abilities does Viper have, and what are their target types, ranges, and energy costs?"
Z07_evolution_chamber_research,Zerg,True,42.98,"[""resolve_entity_key"", ""query_research_outputs"", ""get_entity""]","[""query_research_outputs""]",True,[],[],[],"Which upgrades can the Zerg Evolution Chamber research, and what are the Lair or Hive prerequisites for higher levels?"
Z08_lair_dependency_impact,Zerg,True,99.36,"[""query_tech_tree"", ""query_dependency_impact"", ""query_dependency_impact""]","[""query_dependency_impact"", ""query_tech_tree""]",True,[],[],[],"If Zerg Lair tech is missing, which units and upgrades are affected downstream?"
Z09_mutalisk_reverse_source,Zerg,True,43.32,"[""resolve_entity_key"", ""query_reverse_production_sources"", ""get_entity""]","[""query_reverse_production_sources""]",True,[],[],[],"Where does a Mutalisk come from, what prerequisite building does it require, and what does it cost?"
Z10_broodlord_reverse_source,Zerg,True,21.83,"[""resolve_entity_key"", ""query_reverse_production_sources""]","[""query_reverse_production_sources""]",True,[],[],[],"Where does a Brood Lord come from, what prerequisite building does it require, and what morph ability creates it?"
